Date,Nifty50
2008-10-16,3269.300048828125
2008-10-17,3074.35009765625
2008-10-20,3122.800048828125
2008-10-21,3234.89990234375
2008-10-22,3065.14990234375
2008-10-23,2943.14990234375
2008-10-24,2584.0
2008-10-27,2524.199951171875
2008-10-29,2697.050048828125
2008-10-31,2885.60009765625
2008-11-03,3043.85009765625
2008-11-04,3142.10009765625
2008-11-05,2994.949951171875
2008-11-06,2892.64990234375
2008-11-07,2973.0
2008-11-10,3148.25
2008-11-11,2938.64990234375
2008-11-12,2848.449951171875
2008-11-14,2810.35009765625
2008-11-17,2799.550048828125
2008-11-18,2683.14990234375
2008-11-19,2635.0
2008-11-20,2553.14990234375
2008-11-21,2693.449951171875
2008-11-24,2708.25
2008-11-25,2654.0
2008-11-26,2752.25
2008-11-28,2755.10009765625
2008-12-01,2682.89990234375
2008-12-02,2657.800048828125
2008-12-03,2656.449951171875
2008-12-04,2788.0
2008-12-05,2714.39990234375
2008-12-08,2784.0
2008-12-10,2928.25
2008-12-11,2920.14990234375
2008-12-12,2921.35009765625
2008-12-15,2981.199951171875
2008-12-16,3041.75
2008-12-17,2954.35009765625
2008-12-18,3060.75
2008-12-19,3077.5
2008-12-22,3039.300048828125
2008-12-23,2968.64990234375
2008-12-24,2916.85009765625
2008-12-26,2857.25
2008-12-29,2922.199951171875
2008-12-30,2979.5
2008-12-31,2959.14990234375
2009-01-02,3046.75
2009-01-05,3121.449951171875
2009-01-06,3112.800048828125
2009-01-07,2920.39990234375
2009-01-09,2873.0
2009-01-12,2773.10009765625
2009-01-13,2744.949951171875
2009-01-14,2835.300048828125
2009-01-15,2736.699951171875
2009-01-16,2828.449951171875
2009-01-19,2846.199951171875
2009-01-20,2796.60009765625
2009-01-21,2706.14990234375
2009-01-22,2713.800048828125
2009-01-23,2678.550048828125
2009-01-27,2771.35009765625
2009-01-28,2849.5
2009-01-29,2823.949951171875
2009-01-30,2874.800048828125
2009-02-02,2766.64990234375
2009-02-03,2783.89990234375
2009-02-04,2803.050048828125
2009-02-05,2780.050048828125
2009-02-06,2843.10009765625
2009-02-09,2919.89990234375
2009-02-10,2934.5
2009-02-11,2925.699951171875
2009-02-12,2893.050048828125
2009-02-13,2948.35009765625
2009-02-16,2848.5
2009-02-17,2770.5
2009-02-18,2776.14990234375
2009-02-19,2789.35009765625
2009-02-20,2736.449951171875
2009-02-24,2733.89990234375
2009-02-25,2762.5
2009-02-26,2785.64990234375
2009-02-27,2763.64990234375
2009-03-02,2674.60009765625
2009-03-03,2622.39990234375
2009-03-04,2645.199951171875
2009-03-05,2576.699951171875
2009-03-06,2620.14990234375
2009-03-09,2573.14990234375
2009-03-12,2617.449951171875
2009-03-13,2719.25
2009-03-16,2777.25
2009-03-17,2757.449951171875
2009-03-18,2794.699951171875
2009-03-19,2807.14990234375
2009-03-20,2807.050048828125
2009-03-23,2939.89990234375
2009-03-24,2938.699951171875
2009-03-25,2984.35009765625
2009-03-26,3082.25
2009-03-27,3108.64990234375
