Date,DHANI,BAJAJFINSV,BAJAJHLDNG,VAIBHAVGBL,SOBHA,TANLA,CHOLAFIN,VAKRANGEE,KEI,SUZLON,profit_total_year
2010-12-31 00:00:00,0.6688979962926674,0.5067031348115678,0.1349101749727862,-0.0657791647323538,0.5314808267974203,1.3530992138084286,-0.7093357035749427,-0.10158519825733778,0.5434584003753306,0.5366315665124414,339.8481247006008
2011-12-31 00:00:00,0.9104848775599744,0.272309195981558,-0.015824122209140812,-1.0916245796683905,0.6241453092183188,1.873353256440806,-0.41588670519972626,-0.42106410995936533,0.8246511776112639,0.5796431843589839,314.0187484134282
2012-12-31 00:00:00,0.2634484068160801,0.10409378227628543,-0.17005004760514336,-1.2098024690538642,-0.1565477107709997,0.47948755696658973,-1.6842258827332621,0.03630951656423054,0.7196526389601039,0.33516452562695326,-128.2469682953026
2013-12-31 00:00:00,0.25235332322514803,0.06187274378604628,0.041505934829530675,-0.5149114014757634,0.43954175431576653,1.03617651405482,-0.1350991463306073,-0.03134229592403243,0.6173360797565556,1.073209029308046,284.064253554551
2014-12-31 00:00:00,0.11015180311410089,-0.3426533858513177,-0.379388658106483,0.2564712434097489,0.22804701793104737,0.4218491699085464,0.10906774955695582,-0.0705445811340298,0.39875421295962793,0.2922293036796857,102.39838754678826
2015-12-31 00:00:00,-0.04827573705111979,0.24039389180977516,0.03637624742371892,0.45099635373000974,0.6291105889616988,0.314296739463031,0.06646866366606077,0.3346646868759995,0.03112815304428012,0.2000369482250712,225.5196536148526
2016-12-31 00:00:00,0.9494303767968049,0.3727493913331854,0.3567151192475356,0.5687052119469347,0.5883223069470753,1.046584056378216,0.289235647278993,0.25397922883984525,0.16036344515543452,0.8159119114159915,540.1996695340015
2017-12-31 00:00:00,0.20777987794698646,0.08339385811190654,0.09775279204520222,-0.24691060306792373,0.12986356055665615,0.7497738880864668,-0.17178208083914237,-0.1721229689678072,0.053553252161646546,0.5298395700767285,126.114114611072
2018-12-31 00:00:00,-0.16103803801915192,-0.05463142879443469,0.18218082550641868,0.5082077729471168,0.5619447305392763,0.30957428415175786,0.09126734906982996,-0.2731004342256845,0.14816380573747404,0.5776452977866858,189.02141646992888
2019-12-31 00:00:00,0.22686242080164268,0.110650441351267,0.21305399257733437,0.13122990814775998,0.31914179635956863,0.4924962271826039,0.0864492067163763,1.0447952867416244,0.33148038029900256,0.9267622625573927,388.29219227345726
2020-12-31 00:00:00,0.20955070469797368,0.2604386277831106,0.640306456773998,-0.009293864817418764,0.9900264090296628,-0.2758054411195999,0.48577931448678274,0.3479681720402133,0.6808962960766113,0.06724934499854267,339.71160199498763
2021-12-31 00:00:00,0.7039193728528358,-0.11577643909703088,-0.14230740013551274,0.5044540499791307,0.12726873507829087,0.1415112325611823,0.39605745753154914,0.6054127116297673,-0.19816379964374875,0.1391961454345452,216.15720661910092
2022-12-31 00:00:00,0.8608761256262075,0.0629052080198367,0.12133270843519564,0.687581182246993,0.41187585432658536,0.5069479481813544,-0.1693651358503635,0.2448871818559285,0.186570768686666,0.1681446073343941,308.17564488627977
company_total_profit,5.15444151066015,1.5624490215217557,1.1165640237554404,-0.030676360408020797,5.424221179290368,8.449344646064203,-1.7613692662214961,1.7982571960793514,4.497844811180248,6.241663697315462,3245.2740459237466
