Buy_Date,Entry Price,Position Sizing,Sell_Date,Exit Price,P&L,%P&L,Exit reason
2009-06-08 00:00:00,528.608,99906.912,2010-08-23 00:00:00,430.4947814941406,-18543.398,-18.561,TSL hit
2012-12-31 00:00:00,398.841,81363.564,2014-02-24 00:00:00,374.3128051757812,-5003.752,-6.15,TSL hit
2014-03-31 00:00:00,441.834,76437.282,2014-12-08 00:00:00,416.6267700195312,-4360.851,-5.705,TSL hit
2015-07-13 00:00:00,488.03,71740.40999999999,2019-07-29 00:00:00,1158.67578125,98584.93,137.419,TSL hit
2019-10-14 00:00:00,1393.32,169985.03999999998,2020-03-09 00:00:00,1087.327514648438,-37331.083,-21.961,TSL hit
2020-06-08 00:00:00,1577.781,132533.604,,,,,
