Buy_Date,Entry Price,Position Sizing,Sell_Date,Exit Price,P&L,%P&L,Exit reason
2009-05-25 00:00:00,219.666,99948.03,2009-07-06 00:00:00,151.544,-30995.51,-31.012,Stop loss hit
2010-01-11 00:00:00,235.44,68983.92,2010-03-22 00:00:00,147.052,-25897.684,-37.542,Stop loss hit
2014-01-13 00:00:00,80.264,43101.768,2015-07-27 00:00:00,61.35284423828125,-10155.291,-23.561,TSL hit
2016-08-01 00:00:00,70.669,32931.754,2017-06-19 00:00:00,76.22709655761719,2590.073,7.865,TSL hit
2018-01-01 00:00:00,113.488,35521.744,2018-07-02 00:00:00,79.406,-10667.666,-30.031,Stop loss hit
2019-12-16 00:00:00,100.564,24839.307999999997,2020-03-09 00:00:00,64.258,-8967.582,-36.102,Stop loss hit
2021-01-04 00:00:00,106.812,15808.176,2022-06-13 00:00:00,108.5999984741211,264.624,1.674,TSL hit
