Buy_Date,Entry Price,Position Sizing,Sell_Date,Exit Price,P&L,%P&L,Exit reason
2009-07-20 00:00:00,90.97,99976.03,2011-08-15 00:00:00,107.9048690795898,18611.421,18.616,TSL hit
2013-03-04 00:00:00,153.027,118595.92499999999,2013-04-22 00:00:00,113.4604949951172,-30664.041,-25.856,TSL hit
2013-08-12 00:00:00,159.145,87848.04000000001,2016-02-08 00:00:00,188.5465698242188,16229.667,18.475,TSL hit
2017-07-17 00:00:00,209.812,104066.75200000001,2018-04-30 00:00:00,198.6129608154297,-5554.723,-5.338,TSL hit
2018-09-10 00:00:00,242.986,98409.33,2019-08-12 00:00:00,245.1974334716797,895.631,0.91,TSL hit
2020-07-20 00:00:00,267.279,99427.788,2022-01-24 00:00:00,547.59130859375,104276.179,104.876,TSL hit
