Buy_Date,Entry Price,Position Sizing,Sell_Date,Exit Price,P&L,%P&L,Exit reason
2009-09-07 00:00:00,471.076,99868.11200000001,2011-11-14 00:00:00,667.0192260742188,41539.964,41.595,TSL hit
2014-03-03 00:00:00,625.797,141430.122,2016-01-11 00:00:00,997.2246704101562,83942.654,59.353,TSL hit
2017-04-17 00:00:00,1272.433,225220.641,2017-09-25 00:00:00,1154.492309570312,-20875.502,-9.269,TSL hit
2019-03-25 00:00:00,1109.637,204173.20799999998,2020-03-09 00:00:00,1204.50537109375,17455.78,8.549,TSL hit
2021-01-04 00:00:00,1642.431,221728.185,,,,,
