Buy_Date,Entry Price,Position Sizing,Sell_Date,Exit Price,P&L,%P&L,Exit reason
2009-05-25 00:00:00,1093.152,99476.83200000001,2010-11-15 00:00:00,823.5264282226562,-24535.927,-24.665,TSL hit
2014-03-31 00:00:00,417.642,75175.56,2014-12-08 00:00:00,490.2428588867188,13068.155,17.384,TSL hit
2015-12-28 00:00:00,561.275,88120.175,2016-02-08 00:00:00,382.103,-28130.004,-31.922,Stop loss hit
2016-07-25 00:00:00,575.834,59886.736,2017-11-13 00:00:00,429.5354309082031,-15215.051,-25.406,TSL hit
2021-04-26 00:00:00,42.4,45156.0,2022-06-20 00:00:00,90.69999694824219,51439.497,113.915,TSL hit
