Buy_Date,Entry Price,Position Sizing,Sell_Date,Exit Price,P&L,%P&L,Exit reason
2014-04-07 00:00:00,14.85,99999.9,2014-10-13 00:00:00,11.55000019073486,-22222.199,-22.222,TSL hit
2017-03-13 00:00:00,18.9,77773.5,2017-08-07 00:00:00,15.25,-15019.75,-19.312,TSL hit
2020-06-29 00:00:00,5.8,62756.0,2020-08-10 00:00:00,4.05,-18935.0,-30.172,Stop loss hit
2020-12-28 00:00:00,6.7,43818.0,2021-04-19 00:00:00,4.5,-14388.0,-32.836,Stop loss hit
2021-06-21 00:00:00,7.75,29434.5,2022-06-20 00:00:00,7.199999809265137,-2088.901,-7.097,TSL hit
