Buy_Date,Entry Price,Position Sizing,Sell_Date,Exit Price,P&L,%P&L,Exit reason
2009-08-03 00:00:00,176.279,99950.193,2011-01-24 00:00:00,188.3666381835938,6853.691,6.857,TSL hit
2011-10-24 00:00:00,253.569,106752.549,2015-08-31 00:00:00,604.594482421875,147781.728,138.434,TSL hit
2016-05-23 00:00:00,740.461,253978.123,2016-12-12 00:00:00,717.5399780273438,-7861.911,-3.096,TSL hit
2017-03-06 00:00:00,827.102,246476.39599999998,2018-09-24 00:00:00,1140.418579101562,93368.341,37.881,TSL hit
2019-04-29 00:00:00,1416.333,339919.92000000004,2020-03-09 00:00:00,1469.320434570312,12716.984,3.741,TSL hit
2020-11-02 00:00:00,1717.197,352025.38499999995,2021-07-26 00:00:00,1653.978759765625,-12959.739,-3.681,TSL hit
2021-09-13 00:00:00,2007.95,339343.55,,,,,
