Buy_Date,Entry Price,Position Sizing,Sell_Date,Exit Price,P&L,%P&L,Exit reason
2009-06-01 00:00:00,555.063,99911.34,2011-01-10 00:00:00,632.4818115234375,13935.386,13.948,TSL hit
2012-09-10 00:00:00,562.5,113625.0,2013-07-22 00:00:00,478.9268493652344,-16881.776,-14.857,TSL hit
2013-12-02 00:00:00,630.61,96483.33,2015-08-31 00:00:00,890.7393188476562,39799.786,41.25,TSL hit
2017-03-27 00:00:00,935.305,136554.53,2020-02-24 00:00:00,1111.973754882812,25793.638,18.889,TSL hit
2021-01-04 00:00:00,1340.858,162243.818,2022-05-09 00:00:00,1515.09765625,21082.998,12.995,TSL hit
