Buy_Date,Entry Price,Position Sizing,Sell_Date,Exit Price,P&L,%P&L,Exit reason
2009-09-14 00:00:00,111.738,99893.772,2010-01-25 00:00:00,73.863,-33860.25,-33.896,Stop loss hit
2012-12-03 00:00:00,35.05,66139.34999999999,2013-03-18 00:00:00,24.0,-20851.35,-31.526,Stop loss hit
2014-05-19 00:00:00,29.6,45288.0,2014-09-22 00:00:00,20.45,-13999.5,-30.912,Stop loss hit
2016-07-11 00:00:00,8.1,31282.199999999997,2016-08-15 00:00:00,5.15,-11392.9,-36.42,Stop loss hit
2017-07-17 00:00:00,8.45,19891.3,2018-03-19 00:00:00,5.7,-6473.5,-32.544,Stop loss hit
2020-01-27 00:00:00,1.7,13421.5,2022-06-13 00:00:00,1.700000047683716,0.0,0.0,TSL hit
